,scrapped_jobs,official_match_title,distance
101,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Physicists,183.61235
102,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Astronomers,188.41039
103,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Nanosystems Engineers,189.16704
104,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Statisticians,192.57364
105,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Fuel Cell Engineers,192.83395
106,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies","Electronics Engineers, Except Computer",196.42365
107,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Photonics Technicians,196.63742
108,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Quality Control Analysts,197.87999
109,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Chemical Technicians,198.74075
110,Research Fellow (Theoretical Quantum Information Science),Materials Scientists,144.60748
111,Research Fellow (Theoretical Quantum Information Science),Nanosystems Engineers,146.26993
112,Research Fellow (Theoretical Quantum Information Science),Astronomers,151.884
113,Research Fellow (Theoretical Quantum Information Science),Telecommunications Engineering Specialists,159.31851
114,Research Fellow (Theoretical Quantum Information Science),Physicists,162.16585
115,Research Fellow (Theoretical Quantum Information Science),Bioinformatics Scientists,164.60657
116,Research Fellow (Theoretical Quantum Information Science),Bioengineers and Biomedical Engineers,167.30417
117,Research Fellow (Theoretical Quantum Information Science),Statisticians,167.62506
118,Research Fellow (Theoretical Quantum Information Science),Remote Sensing Scientists and Technologists,168.3195
119,Research Fellow (Theoretical Quantum Information Science),Fuel Cell Engineers,168.58292
120,Diamond Quantum Expert | Delft,Materials Scientists,121.55438
121,Diamond Quantum Expert | Delft,Nanosystems Engineers,126.49747
122,Diamond Quantum Expert | Delft,Telecommunications Engineering Specialists,137.2529
123,Diamond Quantum Expert | Delft,Statisticians,143.54956
124,Diamond Quantum Expert | Delft,Physicists,149.29953
125,Diamond Quantum Expert | Delft,Bioinformatics Scientists,150.05035
126,Diamond Quantum Expert | Delft,Photonics Engineers,153.80255
127,Diamond Quantum Expert | Delft,Biostatisticians,155.99484
128,Diamond Quantum Expert | Delft,Astronomers,156.88513
129,Diamond Quantum Expert | Delft,Microsystems Engineers,157.01016
130,"Research Fellow (Free-space Optical Communication),Centre",Astronomers,138.94077
131,"Research Fellow (Free-space Optical Communication),Centre",Materials Scientists,142.94466
132,"Research Fellow (Free-space Optical Communication),Centre",Physicists,152.98749
133,"Research Fellow (Free-space Optical Communication),Centre",Nanosystems Engineers,153.7254
134,"Research Fellow (Free-space Optical Communication),Centre",Biostatisticians,174.56355
135,"Research Fellow (Free-space Optical Communication),Centre",Survey Researchers,177.1518
136,"Research Fellow (Free-space Optical Communication),Centre","Agricultural Sciences Teachers, Postsecondary",177.21747
137,"Research Fellow (Free-space Optical Communication),Centre",Bioinformatics Scientists,177.54846
138,"Research Fellow (Free-space Optical Communication),Centre",Remote Sensing Scientists and Technologists,178.71039
139,"Research Fellow (Free-space Optical Communication),Centre",Geneticists,178.98856
