,distance,number_of_the_match,official_code,official_job_name,matched_Title,matched_Description
1000,162.48788,1,13-1199.00,"Business Operations Specialists, All Other",Praktikant / Werkstudent Strategisches Business Consulting im (digitalen) Energieökosystem (all genders),
1001,163.2728,1,27-2012.05,Media Technical Directors/Managers,Consultant / Manager International Remote Work Advisory (m/w/d),
1002,146.50345,1,27-3099.00,"Media and Communication Workers, All Other",Praktikant / Werkstudent Batteriespeicher (all genders),
1003,184.74669,1,27-1021.00,Commercial and Industrial Designers,Analyst/Consultant Workforce Transformation / Human Capital (m/w/d) in Hamburg,
1004,189.31268,1,55-1015.00,Command and Control Center Officers,CRM Manager (Inhouse) (m/w/d) in Nürnberg,
1005,104.97142,1,11-1011.00,Chief Executives,Executive Assistant – C Level Executive Support,
1006,181.2342,1,29-2099.01,Neurodiagnostic Technologists,"Seeking a Team Leader (W22115), RIKEN Center for Quantum Computing",
1007,77.6431,1,19-2099.01,Remote Sensing Scientists and Technologists,"Sr. Research Engineer, Remote Sensing",
1008,94.75995,1,43-3011.00,Bill and Account Collectors,Account Representative,
1009,51.584496,1,11-2022.00,Sales Managers,Sales Administration,
1010,289.69818,1,25-1063.00,"Economics Teachers, Postsecondary",Payroll Technician – $60K!,
1011,289.69818,1,25-1063.00,"Economics Teachers, Postsecondary",Payroll Technician – $60K!,
1012,110.546875,1,17-2199.07,Photonics Engineers,Quantum Research Data Scientist,
1013,78.69789,1,25-1032.00,"Engineering Teachers, Postsecondary",Internship - Prototyping Engineer,
1014,98.53862,1,17-2199.07,Photonics Engineers,Quantum Technologies Researcher,
1015,131.74886,1,25-1052.00,"Chemistry Teachers, Postsecondary",Postdoctoral Fellow in Theory and Computation (Chemistry),
1016,118.05431,1,17-2199.07,Photonics Engineers,Optics Scientist,
1017,110.82998,1,11-2021.00,Marketing Managers,Marketing Intern (m/w/d),
1018,160.18692,1,11-9039.00,"Education Administrators, All Other",Consultant Energiewirtschaft (all genders),
1019,139.2634,1,19-2041.03,Industrial Ecologists,Modern Work Cloud Specialist for Lifesciences and Chemicals,
1020,160.18692,1,11-9039.00,"Education Administrators, All Other",Consultant Energiewirtschaft (all genders),
1021,219.90604,1,27-1021.00,Commercial and Industrial Designers,Werkstudent/Praktikant (m/w/d) Technology Strategy & Transformation in Stuttgart,
1022,99.025116,1,11-3131.00,Training and Development Managers,Manager Learning - People Advisory Services (w/m/d),
1023,202.01303,1,25-1021.00,"Computer Science Teachers, Postsecondary",Linux ATOS ACADEMY,
1024,169.34889,1,25-1199.00,"Postsecondary Teachers, All Other",(Junior) Consultant – Komplexitätsmanagement Luftfahrt (all genders),
1025,204.5232,1,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",PhD position in Acoustic resonance for boundary layer flow control,
1026,144.68135,1,15-1211.01,Health Informatics Specialists,Healthcare Go-To-Market (GTM) Manager,
1027,151.67966,1,13-2082.00,Tax Preparers,(Junior) Project Manager (PMO) - Tax (m/w/d) in Nürnberg,
1028,152.62622,1,25-1032.00,"Engineering Teachers, Postsecondary",Engineer (Inhouse) (m/f/x) in Mannheim,
1029,186.60307,1,25-1071.00,"Health Specialties Teachers, Postsecondary",Lecturer - Bachelor of International Public Health program,
1030,117.43805,1,27-3042.00,Technical Writers,Controls Engineer,
1031,190.23064,1,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Internships - PhD students from relevant fields (m/w/d),
1032,137.26973,1,17-3024.01,Robotics Technicians,Robotic Software Engineer (m/w/d) Drone Port,
1033,17.035755,1,47-2061.00,Construction Laborers,Construction Labourer,
1034,162.13484,1,27-2012.04,Talent Directors,Assistant Controller – Growth Opportunity – Remote,
1035,60.062836,1,11-3031.00,Financial Managers,Finance (Executive / Asst. Manager),
1036,92.12348,1,13-1161.00,Market Research Analysts and Marketing Specialists,Analyste des ventes et du marketing,
1037,87.59454,1,31-9095.00,Pharmacy Aides,Customer Service Coordinator – Pharmaceutical,
1038,180.02486,1,11-9033.00,"Education Administrators, Postsecondary",Recruteur – poste permanent !,
1039,65.81734,1,19-2012.00,Physicists,Quantum Theoretical Physicist,
1040,79.81369,1,19-2012.00,Physicists,Theoretical Physicist or Chemist (f/m/x),
1041,163.18713,1,17-2199.07,Photonics Engineers,Quantum Experimental Internship,
1042,125.4706,1,17-2112.01,Human Factors Engineers and Ergonomists,Engineering Project Coordinator (NL),
1043,160.18692,1,11-9039.00,"Education Administrators, All Other",Consultant Energiewirtschaft (all genders),
1044,139.2634,1,19-2041.03,Industrial Ecologists,Modern Work Cloud Specialist for Lifesciences and Chemicals,
1045,160.18692,1,11-9039.00,"Education Administrators, All Other",Consultant Energiewirtschaft (all genders),
1046,219.90604,1,27-1021.00,Commercial and Industrial Designers,Werkstudent/Praktikant (m/w/d) Technology Strategy & Transformation in Stuttgart,
