,scrapped_jobs,official_match_title,match_code,distance
104,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Statisticians,15-2041.00,192.57368
105,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Fuel Cell Engineers,17-2141.01,192.83397
106,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies","Electronics Engineers, Except Computer",17-2072.00,196.42365
107,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Photonics Technicians,17-3029.08,196.63742
108,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Quality Control Analysts,19-4099.01,197.88
109,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Chemical Technicians,19-4031.00,198.74075
110,Research Fellow (Theoretical Quantum Information Science),Materials Scientists,19-2032.00,144.60748
111,Research Fellow (Theoretical Quantum Information Science),Nanosystems Engineers,17-2199.09,146.26994
112,Research Fellow (Theoretical Quantum Information Science),Astronomers,19-2011.00,151.88399
113,Research Fellow (Theoretical Quantum Information Science),Telecommunications Engineering Specialists,15-1241.01,159.31853
114,Research Fellow (Theoretical Quantum Information Science),Physicists,19-2012.00,162.16586
115,Research Fellow (Theoretical Quantum Information Science),Bioinformatics Scientists,19-1029.01,164.60657
116,Research Fellow (Theoretical Quantum Information Science),Bioengineers and Biomedical Engineers,17-2031.00,167.30415
117,Research Fellow (Theoretical Quantum Information Science),Statisticians,15-2041.00,167.62509
118,Research Fellow (Theoretical Quantum Information Science),Remote Sensing Scientists and Technologists,19-2099.01,168.31949
119,Research Fellow (Theoretical Quantum Information Science),Fuel Cell Engineers,17-2141.01,168.58295
120,Diamond Quantum Expert | Delft,Materials Scientists,19-2032.00,121.5544
121,Diamond Quantum Expert | Delft,Nanosystems Engineers,17-2199.09,126.49748
122,Diamond Quantum Expert | Delft,Telecommunications Engineering Specialists,15-1241.01,137.25293
123,Diamond Quantum Expert | Delft,Statisticians,15-2041.00,143.54959
124,Diamond Quantum Expert | Delft,Physicists,19-2012.00,149.29955
125,Diamond Quantum Expert | Delft,Bioinformatics Scientists,19-1029.01,150.05037
126,Diamond Quantum Expert | Delft,Photonics Engineers,17-2199.07,153.80257
127,Diamond Quantum Expert | Delft,Biostatisticians,15-2041.01,155.99487
128,Diamond Quantum Expert | Delft,Astronomers,19-2011.00,156.88513
129,Diamond Quantum Expert | Delft,Microsystems Engineers,17-2199.06,157.0102
130,"Research Fellow (Free-space Optical Communication),Centre",Astronomers,19-2011.00,138.94073
131,"Research Fellow (Free-space Optical Communication),Centre",Materials Scientists,19-2032.00,142.94466
132,"Research Fellow (Free-space Optical Communication),Centre",Physicists,19-2012.00,152.98747
133,"Research Fellow (Free-space Optical Communication),Centre",Nanosystems Engineers,17-2199.09,153.7254
134,"Research Fellow (Free-space Optical Communication),Centre",Biostatisticians,15-2041.01,174.56354
135,"Research Fellow (Free-space Optical Communication),Centre",Survey Researchers,19-3022.00,177.15178
136,"Research Fellow (Free-space Optical Communication),Centre","Agricultural Sciences Teachers, Postsecondary",25-1041.00,177.21744
137,"Research Fellow (Free-space Optical Communication),Centre",Bioinformatics Scientists,19-1029.01,177.54843
138,"Research Fellow (Free-space Optical Communication),Centre",Remote Sensing Scientists and Technologists,19-2099.01,178.71037
139,"Research Fellow (Free-space Optical Communication),Centre",Geneticists,19-1029.03,178.98854
140,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Astronomers,19-2011.00,150.7697
141,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Materials Scientists,19-2032.00,153.28557
142,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Physicists,19-2012.00,163.14835
143,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Nanosystems Engineers,17-2199.09,163.298
144,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Survey Researchers,19-3022.00,186.08228
145,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Remote Sensing Scientists and Technologists,19-2099.01,186.53809
146,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Biostatisticians,15-2041.01,189.67795
147,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Geneticists,19-1029.03,189.69876
148,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Bioinformatics Scientists,19-1029.01,190.6737
149,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Atmospheric and Space Scientists,19-2021.00,192.77959
150,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Astronomers,19-2011.00,150.7697
151,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Materials Scientists,19-2032.00,153.28557
152,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Physicists,19-2012.00,163.14835
153,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Nanosystems Engineers,17-2199.09,163.298
154,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Survey Researchers,19-3022.00,186.08228
155,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Remote Sensing Scientists and Technologists,19-2099.01,186.53809
156,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Biostatisticians,15-2041.01,189.67795
157,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Geneticists,19-1029.03,189.69876
158,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Bioinformatics Scientists,19-1029.01,190.6737
159,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Atmospheric and Space Scientists,19-2021.00,192.77959
160,Quantum Sensing Expert,Freight Forwarders,43-5011.01,281.80875
