,countRef,openDate,sector,europages,company_class_1,employer,employerType,jobTitle,type,countries
100,101,20220112,,,university,technical university of munich (tum),U,scientific researcher for i/o aspects of hybrid hpc/quantum workflows (m/f/d),A,DE
101,102,20210817,"manufacturing of medical, surgical, ophthalmic, and veterinary instruments and apparatus",Manufacturer/ Producer,,siemens healthcare gmbh,O,phd student (m/f/d) for quantum computing use case implementation for medical imaging,P,DE
102,103,20221024,,,university,university of edinburgh,U,senior researcher,A,GB
103,104,20210709,space engineering practice,,,"craft prospect, space engineering",O,embedded systems engineer,A,GB
104,105,20210918,public research university,,university,friedrich-schiller-universitt jena,U,technische:r mitarbeiter:in (m/w/d) im bereich abbe center of photonics,A,DE
105,106,20210520,international state-of-the-art competence center for science & technology as well as service & transfer for innovations in and by crystalline materials,,,leibniz institute for crystal growth (ikz),O,junior research group leader (m/f/d) sige-based quantum materials & heterostructures,A,DE
106,107,20220911,,,,qruise,O,quantum control physicist (remote-ish),A,DE
107,108,20210217,independent quantum computing company,,company,cambridge quantum computing,O,ph.d. scientists in quantum optimisation and finance: client & product development,A,GB
108,109,20220323,"an educational
institute",,university,dresden university of technology,U,research associate / postdoc (m/f/x),P,DE
109,110,20210716,red brick Russell Group research university,,university,university of bristol,U,research associate/senior research associate in quantum computing theory,A,GB
110,111,20220828,symmetric encryption reborn for the cloud,category other,,arqit limited,O,events manager,A,GB
111,112,20220712,measurement standards laboratory of India,,,council of scientific and industrial research–national physical laboratory (csir–npl),O,strategic business development manager,A,GB
112,113,20220424,a quantum computing hardware and software company,,company,oxford quantum circuits,O,hr business partner,A,GB
113,114,20210728,a technology company,,company,ibm,O,senior managing consultant - public sector strategy (general) (f/m/x),A,DE
114,115,20220710,,,university,university of bath,U,research associate in fibre photonics (fixed-term post),P,GB
115,116,20220330,,,university,university of glasgow,U,professor: centre for quantum technology,F,GB
116,117,20210326,,Service Provider,,helmholtz-zentrum dresden-rossendorf,O,postdoctoral researcher (f/m/d) multiscale simulations for matter under extreme conditions,P,DE
117,118,20210217,independent quantum computing company,,company,cambridge quantum computing,O,"ph.d. scientists in quantum machine learning, client & product development",A,GB
118,119,20220602,the world's leading applied research organisation,,,fraunhofer-gesellschaft (fraunhofer society),O,master's thesis quantum hub project: adaptation of the hough algorithm to a quantum computer,A,DE
119,120,20210603,,Service Provider,,ic resources,O,senior embedded software engineer,A,GB
120,121,20220112,,,,dlr-(german aerospace center)deutsches zentrum fr luft- und raumfahrt,O,investigation of quantum communication in a dynamic scenario,A,DE
121,122,20210528,major Japanese manufacturer of computers and electronic devices for consumers and industry,,company,toshiba,O,product development manager,A,GB
122,123,20220702,a quantum computing hardware and software company,,company,oxford quantum circuits,O,cleanroom supervisor,A,GB
123,124,20210811,,,university,imperial college london,U,research associate in experimental quantum optomechanics,A,GB
124,125,20220819,,,,infleqtion / coldquanta,O,quantum mechanic,A,GB
125,126,20220830,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,master thesis - simulating topological material-based quantum information processing devices,A,DE
126,127,20210814,independent quantum computing company,,company,cambridge quantum computing,O,legal internship,I,GB
127,128,20220125,exempt charity,,university,university of portsmouth,U,postdoctoral research fellow,P,GB
128,129,20201115,"socially progressive, internationally leading technological University",,university,university of strathclyde,U,research associate,A,GB
129,130,20221119,,Manufacturer/ Producer,,atos,O,technical expert - quantum computing (m/f/d),A,DE
130,131,20220629,,,,paul-drude-institut fr festkrperelektronik (pdi),O,phd student position (m/f/d) towards quantum polaromechanics,A,DE
131,132,20220613,diamond company,,company,de beers group of companies,O,research scientist,A,GB
132,133,20211130,public research university,,university,friedrich-schiller-universitt jena,U,junior research group leader (m/f/d) in the field of theory of optical quantum information,A,DE
133,134,20220823,red brick Russell Group research university,,university,university of bristol,U,research associate/senior research associate in quantum computing theory,A,GB
134,135,20211102,independent quantum computing company,,company,cambridge quantum computing,O,senior field-programmable gate array (fpga) engineer,A,GB
135,136,20220225,,,,kiutra gmbh,O,production team member (f/m/d) in full or part time,A,DE
