,distance,number_of_the_match,official_code,official_job_name,matched_Unnamed: 0,matched_organization,matched_position,matched_link,matched_location,matched_date_added
72,118.81636,1,51-9162.00,Computer Numerically Controlled Tool Programmers,72,IonQ,"Staff Software Engineer, Machine Learing",https://jobs.quantumapalooza.com/u/BgAAAAABjS-knQVCF1AanAOGcesCAp45PKt_6eVBgvzTINzYngy6-3sN1kM7rwq1tEm35D8QQfrk8jhgKWZla7wF4JPAE6ITmcdvCQoQ24Fn3LX2gKKHJCpKlccuRtAYRPhxv7H60oDqoius0J6Q0J4KPbpQcZyot3g==,USA; Remote,2022-09-17
73,118.81636,1,51-9162.00,Computer Numerically Controlled Tool Programmers,73,IonQ,"Staff Software Engineer, Machine Learing",https://jobs.quantumapalooza.com/u/BgAAAAABjS-ko2waHGjMkaAjEfrTsovdmd_7Y2ERYRY-K-Pichbqsh1dhgXwMfQ-0274bm4r3Y029vWrtO9qfQVtOGIZif1UPneGTQP9J8JYzecv4jLPfwMVgCmsOTWCgkXl0NH5bBt4d_9HUB-CjelGMtB6cnRtenQ==,Remote,2022-09-17
74,119.85743,1,15-1299.08,Computer Systems Engineers/Architects,74,IonQ,"Staff Software Engineer, Quantum OS",https://jobs.quantumapalooza.com/u/BgAAAAABjS-koTthD6s2KveL0Lahq26aokWKlvFmcYGA5r8uP043EE7tqzcqCQZMkPfX-WpCgLDbwNzFfLfK2AlN7HhfeArNp5-YCGbSXyNpM-CzcOxnjkkSwZMIRafRzX2SB1H26nEGknc_gUdr2kiFCgXTzXFeIIQ==,USA; Maryland; College Park,2022-09-17
75,73.730484,1,15-1253.00,Software Quality Assurance Analysts and Testers,75,IonQ,"Staff Software Engineer, Subsystem Integration and Testing",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kpicNe7KDGW4yhUjTkQaBPeApUEcnvsVDm1XZNiuqnpIIJTDUmt0XoFbkYE4oNCiaBUzHmDCKrPcJnGXZqCBEhFZ8iu9qXdz_vwSb15_9-rjoSmQV5ykUjhATfsr8By6yO_8Y3uq8Abfb-GKlkBp0lYg==,USA; Maryland; College Park,2022-09-17
76,83.93903,1,17-2112.03,Manufacturing Engineers,76,IonQ,Staff Systems Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kqZOL_YJuM0Oi6RE_qn-rdpJv00BWdbfHMFi51xav00RnTwkhtY3TD_3RyZ9-RoXLW6yyqNo4-uUIjBPOI27Qo7Wb2UcosT83J_M993WZICECgnTx7XWAhZnL0VKApU1mQ1YtdA1HHZFfBkmN8efOH6Q==,USA; Maryland; College Park,2022-09-17
77,97.58667,1,25-1054.00,"Physics Teachers, Postsecondary",77,IonQ,Staff Theoretical Physicist,https://jobs.quantumapalooza.com/u/BgAAAAABjS-krFLinDZxOn3hTGzbdUM7H8z9txDVVBsU1u7HaosMXxebJREdBF22-dYNm4_1JrEmC8z7VIxEXOelSgXSjM7JBSb-rLNC46bqcEPvBPZUGEZ54iuaCJ9V_wYekGYQw30G5pPcwQWB6QfifeMnMT0u1uQ==,USA; Washington; Seattle,2022-09-17
78,59.77475,1,15-1252.00,Software Developers,78,Keysight,R&D Software Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kxygb6a2FAf3oq1jUvmn_ccY2jYW0-b5PL2z-rRpu3HAGCTLmFcfrktthU95VZFxSsCXyErJNfghy-WDU4xSgc-sHptH06pwgjtHgKwei_GgBwI8j80W9Q2Kf0oKrWOvZUurN1X9uItmeSrzST1CfDXQ==,USA; California; Santa Rosa,2022-09-17
79,135.76703,1,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,79,Northrop Grumman,Analog Mixed Signal Integrated Circuit (IC) Design Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-lfEtttRuPj275OZrYgqKtjH8Y94JLBdluCE4TYxhyhdVD6BGVEqzTFMbQj1W-FBNV1Cz_3-13zA7NNIdD_rAzyJ4XckjMUQ7Lt1JTuo-fMgp7EsMljR4O0y2TsxsFngI_k1-RIGY1JJ3hhxjdzqbFIWA==,USA; Maryland; Linthicum,2022-09-17
80,129.4333,1,25-1032.00,"Engineering Teachers, Postsecondary",80,Northrop Grumman,Principal / Senior Principal DevOps Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-liUQNhfa08brNBVroFW0920xQIsbwcEd7uC07Y6sDsef4h1Jrr1y1f7dAOXLyHhoWXtfAaLzF0Bl7AiNqnDzogU1oENFGFq-1NRnniRD8-UdenMQ0V9Kw0AhIpJv_PqHtEZ_8hpXbmYRMWWoJRs2WcOg==,USA; Maryland; Linthicum,2022-09-17
81,99.887825,1,17-2199.05,Mechatronics Engineers,81,Northrop Grumman,Superconducting Electronics IC Design Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-lo-gjzn6UOQkQl6LSl4cDFwm5mtFkeCYkFxUnW4QZHgr4J3Auec2HZ9xBfBL2tpc2XHUAqW20QSISEM6IuZ9Sia15RKNhFEBfdJ1zPIff6xdqUmV8WbTnmi5g38gLb7kuVvJDw4bQUXCyQExQqIaekOg==,USA; Maryland; Linthicum,2022-09-17
